"ID","いいね数"
12578,0
12576,1
12575,0
12574,0
12566,3
12573,1
12572,1
12570,3
12309,7
12308,4
12569,9
12510,6
12568,9
12567,11
12522,2
12565,9
12564,5
12563,5
12562,7
12561,1
12553,5
12554,8
12560,14
12559,12
12558,9
12557,5
12556,8
12555,6
12552,10
12551,2
12550,12
12549,13
12524,5
12548,1
12547,9
12546,2
12545,8
12544,6
12541,4
12410,9
12409,5
12422,11
12540,9
12539,3
12538,3
12537,5
12536,5
12535,6
12534,9
12533,9
12532,11
12530,5
12531,6
12529,11
12528,15
12527,2
12526,6
12525,9
12523,4
12354,13
12353,9
12421,3
12521,12
12505,2
12520,7
12519,1
12517,6
12516,7
12515,13
12514,4
12506,1
12509,7
12345,9
12344,8
12508,13
12420,3
12507,6
12504,14
12503,4
12501,12
12500,8
12499,9
12498,8
12497,3
12496,5
12495,10
12494,5
12493,7
12489,6
12492,0
12491,9
12488,10
12466,3
12487,8
12486,24
12485,3
12484,4
12343,10
12341,10
12469,11
12483,18
12361,11
12482,9
12481,0
12480,2
12478,7
12411,2
12477,5
12476,6
12475,10
12474,6
12473,9
12472,10
12471,4
12470,1
12468,10
12467,4
12465,17
12464,18
12463,4
12462,9
12455,3
12461,5
12398,2
12460,4
12459,1
12458,3
12457,10
12456,1
12454,12
12453,14
12317,10
12316,8
12442,2
12451,4
12449,4
12351,1
12448,8
12447,2
12446,5
12445,3
12444,5
12443,7
12441,4
12440,12
12438,15
12439,6
12437,4
12436,8
12435,13
12434,4
12429,8
12428,9
12425,12
12412,8
12424,11
12423,2
12419,6
12418,14
12417,10
12416,9
12415,4
12414,1
12315,6
12313,4
12413,6
12327,4
12408,1
12407,6
12374,2
12406,6
12405,2
12404,2
12403,4
12402,9
12401,14
12395,11
12400,7
12399,35
12396,8
12394,10
12393,12
12392,10
12391,10
12390,8
12389,16
12307,10
12306,11
12323,19
12388,6
12387,11
12386,7
12385,3
12384,3
12383,1
12382,14
12381,18
12379,5
12378,5
12375,12
12377,11
12376,17
12311,8
12310,7
12322,13
12321,11
12373,1
12372,2
12371,11
12370,15
12369,8
12368,8
12367,2
12366,10
12365,7
12364,13
12329,8
12363,12
12330,11
12362,10
12360,2
12359,18
12358,11
12357,15
12356,1
12355,3
12248,6
12247,5
12268,9
12352,1
12350,4
12349,4
12347,9
12346,6
12342,7
12250,10
12340,5
12339,3
12338,9
12337,2
12336,5
12335,8
12334,10
12333,11
12332,1
12331,0
12328,17
12326,4
12325,1
12246,11
12245,7
12324,15
12267,9
12320,4
12265,4
12319,8
12318,13
12314,1
12312,1
12305,1
12304,3
12303,9
12302,7
12301,15
12232,11
12300,17
12299,7
12298,15
12297,0
12295,10
12294,4
12293,7
12292,13
12291,8
12290,2
12289,1
12288,27
12287,0
12286,1
12285,4
12284,10
12243,8
12242,8
12283,7
12212,2
12278,9
12280,11
12281,2
12279,14
12277,10
12276,7
12275,2
12274,10
12238,9
12273,2
12272,5
12271,2
12270,11
12269,14
12266,5
12220,9
12219,10
12264,8
12152,2
12221,12
12216,2
12262,12
12263,11
12261,4
12260,2
12259,3
12258,10
